Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Brazil,2021,Ransomware,Government,72.14,673933,Unknown,Zero-day,AI-based Detection,22
USA,2021,Ransomware,Education,84.64,534283,Insider,Social Engineering,VPN,49
UK,2022,DDoS,Education,32.2,49715,Insider,Unpatched Software,Encryption,72
China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15
Russia,2021,SQL Injection,Healthcare,48.71,861410,Unknown,Social Engineering,VPN,7
Germany,2016,DDoS,Telecommunications,14.28,547178,Insider,Social Engineering,Firewall,45
Japan,2020,Ransomware,Banking,37.38,273660,Insider,Weak Passwords,Firewall,6
Brazil,2023,Phishing,IT,23.01,195113,Unknown,Unpatched Software,Encryption,4
China,2018,Man-in-the-Middle,Banking,9.77,881294,Insider,Unpatched Software,AI-based Detection,3
USA,2024,Phishing,Government,58.64,146937,Hacker Group,Social Engineering,Firewall,10
Russia,2016,Phishing,Healthcare,11.29,72191,Unknown,Weak Passwords,Antivirus,3
Australia,2022,Man-in-the-Middle,Government,90.65,898589,Hacker Group,Zero-day,AI-based Detection,58
Japan,2024,Malware,Telecommunications,30.66,430306,Nation-state,Weak Passwords,VPN,67
Australia,2022,DDoS,IT,27.02,835814,Insider,Weak Passwords,Encryption,40
Russia,2015,SQL Injection,IT,56.07,837322,Insider,Zero-day,AI-based Detection,25
Russia,2019,SQL Injection,Telecommunications,10.88,299403,Unknown,Unpatched Software,Antivirus,23
USA,2024,Man-in-the-Middle,Government,96.13,482492,Unknown,Social Engineering,Encryption,17
China,2022,DDoS,IT,88.61,777010,Hacker Group,Weak Passwords,VPN,34
Germany,2021,DDoS,IT,73.5,806210,Unknown,Weak Passwords,Antivirus,5
China,2024,Malware,Government,1.17,281616,Nation-state,Unpatched Software,Encryption,6
India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21
USA,2020,Malware,Retail,59.15,179586,Hacker Group,Social Engineering,VPN,27
UK,2022,Phishing,Retail,26.63,725905,Hacker Group,Zero-day,VPN,54
USA,2016,DDoS,Healthcare,30.49,723411,Hacker Group,Weak Passwords,AI-based Detection,40
India,2024,Malware,Banking,14.01,141437,Nation-state,Weak Passwords,Firewall,10
USA,2019,DDoS,Government,49.88,441744,Unknown,Weak Passwords,Firewall,40
Japan,2016,Malware,Telecommunications,4.84,936738,Insider,Weak Passwords,Antivirus,8
USA,2024,Malware,Education,75.51,822636,Insider,Social Engineering,Antivirus,63
Australia,2018,Malware,Banking,68.32,843891,Unknown,Weak Passwords,Antivirus,31
Russia,2020,DDoS,Healthcare,6.37,82576,Nation-state,Weak Passwords,VPN,40
France,2024,Ransomware,Banking,97.53,759522,Unknown,Weak Passwords,VPN,39
UK,2024,Ransomware,Banking,12.22,860343,Hacker Group,Weak Passwords,Antivirus,42
Australia,2023,Malware,Government,55.72,14483,Nation-state,Weak Passwords,Firewall,36
Japan,2023,Malware,Telecommunications,67.77,871255,Hacker Group,Social Engineering,AI-based Detection,24
India,2019,Man-in-the-Middle,Government,98.86,48647,Unknown,Zero-day,Encryption,48
Australia,2024,Phishing,Education,74.75,109907,Insider,Social Engineering,VPN,5
Brazil,2022,Man-in-the-Middle,Retail,89.11,749386,Unknown,Unpatched Software,Firewall,16
Russia,2018,Malware,Telecommunications,89.79,900723,Insider,Zero-day,Firewall,32
France,2024,Phishing,IT,49.75,943151,Nation-state,Zero-day,VPN,66
USA,2019,Malware,Education,1.05,93580,Nation-state,Unpatched Software,VPN,21
China,2019,Malware,Retail,26.66,303469,Insider,Social Engineering,VPN,60
USA,2024,Malware,Telecommunications,0.71,28436,Unknown,Unpatched Software,Encryption,66
France,2015,Phishing,Healthcare,41.92,383484,Unknown,Unpatched Software,VPN,52
Germany,2017,DDoS,Telecommunications,40.05,27446,Insider,Social Engineering,AI-based Detection,13
Japan,2020,Phishing,Healthcare,73.13,39276,Nation-state,Unpatched Software,Firewall,29
Brazil,2024,SQL Injection,IT,33.94,88304,Nation-state,Zero-day,Encryption,41
Brazil,2019,Malware,Government,4.95,281096,Nation-state,Zero-day,AI-based Detection,2
Australia,2018,SQL Injection,Banking,50.23,793612,Nation-state,Zero-day,Firewall,12
UK,2016,Malware,Banking,49.92,848188,Nation-state,Unpatched Software,VPN,12
India,2016,Man-in-the-Middle,IT,70.24,374767,Unknown,Unpatched Software,Antivirus,67
France,2019,DDoS,Telecommunications,85.65,835349,Nation-state,Unpatched Software,VPN,8
Japan,2020,SQL Injection,Banking,64.25,877560,Nation-state,Weak Passwords,Encryption,61
Germany,2016,Man-in-the-Middle,Government,58.93,249279,Unknown,Weak Passwords,VPN,58
Japan,2017,Ransomware,Government,9.24,126143,Unknown,Weak Passwords,Antivirus,35
France,2021,Malware,Government,50.84,7910,Unknown,Unpatched Software,Firewall,19
Brazil,2020,SQL Injection,Education,85.12,732802,Nation-state,Weak Passwords,Antivirus,62
USA,2019,DDoS,Telecommunications,12.13,426349,Hacker Group,Unpatched Software,Encryption,44
China,2019,Man-in-the-Middle,Telecommunications,6.24,739538,Nation-state,Zero-day,Encryption,5
UK,2016,SQL Injection,Retail,17.98,251689,Nation-state,Social Engineering,Antivirus,1
Germany,2015,Malware,Education,75.2,461291,Insider,Social Engineering,AI-based Detection,5
UK,2021,Man-in-the-Middle,Banking,71.88,757595,Insider,Weak Passwords,VPN,40
Japan,2024,Man-in-the-Middle,Retail,12.62,970866,Hacker Group,Weak Passwords,Firewall,13
Brazil,2021,Malware,Government,79.56,334916,Nation-state,Weak Passwords,Firewall,35
UK,2019,Man-in-the-Middle,IT,35.37,384185,Insider,Weak Passwords,Firewall,71
Australia,2016,Phishing,Education,98.72,6670,Nation-state,Social Engineering,VPN,24
France,2016,Man-in-the-Middle,IT,62.08,801177,Nation-state,Social Engineering,Encryption,11
Russia,2016,Ransomware,Banking,28.79,183711,Insider,Zero-day,Encryption,50
France,2015,Malware,Retail,83.45,573985,Insider,Weak Passwords,AI-based Detection,45
Japan,2018,DDoS,Healthcare,88.04,675172,Nation-state,Weak Passwords,Antivirus,43
Germany,2018,DDoS,Government,35.76,716770,Insider,Unpatched Software,Encryption,2
Australia,2016,DDoS,IT,43.19,825866,Unknown,Weak Passwords,Firewall,23
USA,2019,Ransomware,Healthcare,92.43,206631,Unknown,Zero-day,AI-based Detection,64
Germany,2016,Phishing,Banking,40.18,153211,Nation-state,Weak Passwords,Encryption,43
Japan,2018,SQL Injection,IT,48.91,322255,Nation-state,Zero-day,AI-based Detection,41
China,2021,Ransomware,Telecommunications,44.84,16106,Nation-state,Weak Passwords,Firewall,29
USA,2021,Man-in-the-Middle,Education,51.43,640851,Unknown,Zero-day,VPN,11
Japan,2022,Phishing,Banking,12.42,570853,Unknown,Unpatched Software,Encryption,4
USA,2023,SQL Injection,Banking,98.91,995462,Unknown,Unpatched Software,Firewall,33
Russia,2015,Ransomware,Telecommunications,64.68,716832,Hacker Group,Social Engineering,VPN,67
USA,2015,Malware,Retail,41.34,677462,Unknown,Unpatched Software,AI-based Detection,45
France,2020,DDoS,IT,52.09,362499,Insider,Unpatched Software,Encryption,4
India,2023,DDoS,Retail,26.01,274512,Insider,Weak Passwords,AI-based Detection,69
Germany,2017,Malware,Government,63.97,590555,Nation-state,Social Engineering,AI-based Detection,27
Australia,2024,Phishing,Telecommunications,42.28,297456,Nation-state,Zero-day,VPN,20
Russia,2015,Ransomware,Government,2.73,465465,Nation-state,Unpatched Software,Encryption,60
India,2023,Man-in-the-Middle,IT,58.9,24387,Hacker Group,Unpatched Software,Encryption,29
France,2020,Man-in-the-Middle,Education,35.12,871001,Nation-state,Zero-day,Antivirus,39
Brazil,2019,Malware,IT,8.31,989421,Unknown,Zero-day,Firewall,46
France,2015,Phishing,Retail,84.86,190100,Nation-state,Zero-day,AI-based Detection,69
France,2018,SQL Injection,IT,63.56,3324,Unknown,Zero-day,Encryption,65
UK,2024,Malware,Retail,33.24,851177,Insider,Unpatched Software,Encryption,53
Russia,2015,Malware,Healthcare,35.11,477346,Unknown,Social Engineering,Firewall,8
USA,2021,Malware,Healthcare,49.73,386686,Insider,Zero-day,AI-based Detection,7
Russia,2016,DDoS,Banking,87.62,922456,Insider,Zero-day,VPN,67
China,2021,DDoS,Telecommunications,84.09,954379,Insider,Social Engineering,VPN,59
Germany,2024,Phishing,Telecommunications,36.34,887186,Insider,Weak Passwords,Antivirus,8
India,2018,Malware,Education,41.28,197323,Hacker Group,Social Engineering,Antivirus,47
India,2016,Malware,IT,34.78,294587,Unknown,Social Engineering,AI-based Detection,43
UK,2022,Man-in-the-Middle,Telecommunications,88.71,191263,Hacker Group,Unpatched Software,Encryption,68
France,2017,Ransomware,Healthcare,88.79,332214,Nation-state,Social Engineering,Antivirus,16
China,2024,Man-in-the-Middle,Government,56.26,196531,Hacker Group,Zero-day,Firewall,45
Brazil,2021,SQL Injection,Banking,4.34,258021,Hacker Group,Unpatched Software,Encryption,46
Russia,2021,Ransomware,Healthcare,85.65,920121,Unknown,Social Engineering,Antivirus,21
Australia,2021,SQL Injection,IT,4.52,971908,Unknown,Zero-day,AI-based Detection,16
France,2017,Ransomware,IT,27.19,760590,Nation-state,Weak Passwords,Encryption,9
UK,2023,Man-in-the-Middle,Government,45.16,569044,Hacker Group,Social Engineering,Antivirus,27
France,2021,SQL Injection,Government,2.3,841324,Unknown,Weak Passwords,Encryption,8
Japan,2022,Malware,Government,71.54,668679,Unknown,Social Engineering,VPN,27
India,2022,SQL Injection,Banking,27.86,310150,Unknown,Unpatched Software,AI-based Detection,21
Germany,2016,Man-in-the-Middle,IT,13.21,549414,Unknown,Social Engineering,Encryption,70
Australia,2015,DDoS,Government,11.89,731839,Unknown,Zero-day,AI-based Detection,14
Brazil,2023,SQL Injection,Healthcare,76.58,626352,Hacker Group,Social Engineering,Encryption,33
India,2022,DDoS,Banking,92.23,626017,Unknown,Unpatched Software,Antivirus,1
Australia,2019,DDoS,Telecommunications,70.7,172782,Unknown,Social Engineering,VPN,2
France,2021,Ransomware,Government,2.39,665023,Insider,Unpatched Software,Firewall,49
Germany,2018,Man-in-the-Middle,Banking,89.87,15909,Nation-state,Zero-day,Antivirus,19
UK,2023,Man-in-the-Middle,Banking,24.28,998547,Unknown,Weak Passwords,Antivirus,46
Australia,2019,DDoS,IT,58.3,76358,Nation-state,Weak Passwords,Encryption,58
Germany,2024,Man-in-the-Middle,IT,84.19,89704,Hacker Group,Social Engineering,Antivirus,26
Russia,2024,Man-in-the-Middle,Education,72.02,191361,Hacker Group,Unpatched Software,AI-based Detection,11
Germany,2023,Man-in-the-Middle,Government,0.61,200862,Insider,Social Engineering,Encryption,13
USA,2017,Malware,Government,89.49,4966,Hacker Group,Social Engineering,AI-based Detection,41
Japan,2018,Phishing,Education,34.06,344674,Unknown,Weak Passwords,Antivirus,19
USA,2020,Phishing,Government,37.66,449424,Unknown,Unpatched Software,Firewall,3
Germany,2020,Phishing,Healthcare,69.2,162807,Hacker Group,Unpatched Software,Encryption,4
India,2024,DDoS,Banking,47.1,21292,Insider,Social Engineering,Antivirus,10
Australia,2023,Malware,Banking,25.7,993215,Nation-state,Zero-day,AI-based Detection,56
Australia,2017,DDoS,Banking,16.58,744201,Hacker Group,Zero-day,VPN,7
Japan,2017,Phishing,Banking,61.33,762300,Nation-state,Social Engineering,VPN,20
France,2018,DDoS,Government,14.1,764003,Insider,Zero-day,AI-based Detection,43
China,2019,DDoS,Banking,33.88,761910,Hacker Group,Zero-day,Antivirus,27
France,2023,Ransomware,IT,87.45,296050,Insider,Weak Passwords,VPN,30
France,2020,Malware,Government,27.43,82853,Hacker Group,Social Engineering,Encryption,67
Japan,2022,SQL Injection,Banking,34.03,700439,Insider,Zero-day,Encryption,41
Russia,2022,SQL Injection,Retail,6.61,351048,Insider,Unpatched Software,VPN,57
China,2020,Phishing,Retail,17.99,36963,Insider,Zero-day,VPN,54
France,2021,Ransomware,IT,99.77,533151,Nation-state,Zero-day,Antivirus,43
Germany,2018,Man-in-the-Middle,Healthcare,61.93,62185,Nation-state,Social Engineering,Encryption,32
USA,2016,DDoS,Education,48.83,231299,Unknown,Unpatched Software,Encryption,58
UK,2017,SQL Injection,Retail,47.99,914365,Insider,Weak Passwords,Firewall,52
Japan,2024,Ransomware,Retail,47.44,696953,Nation-state,Zero-day,Firewall,54
Russia,2015,Malware,Education,24.47,977607,Hacker Group,Zero-day,AI-based Detection,62
Australia,2020,Ransomware,Retail,71.03,91228,Hacker Group,Social Engineering,Antivirus,22
China,2016,Phishing,Government,59.95,417253,Insider,Weak Passwords,VPN,16
France,2021,Man-in-the-Middle,Government,44.03,60431,Hacker Group,Weak Passwords,AI-based Detection,59
Japan,2016,Man-in-the-Middle,Healthcare,44.69,567209,Hacker Group,Social Engineering,Antivirus,1
France,2015,SQL Injection,IT,70.18,596168,Nation-state,Zero-day,Encryption,15
Japan,2024,Malware,Telecommunications,49.88,437357,Unknown,Weak Passwords,AI-based Detection,56
Australia,2016,Ransomware,IT,43.88,588421,Nation-state,Unpatched Software,Encryption,72
UK,2017,Phishing,IT,57.17,477292,Nation-state,Social Engineering,AI-based Detection,18
Germany,2018,Phishing,Education,16.76,163839,Insider,Social Engineering,Encryption,19
UK,2024,SQL Injection,IT,65.06,922676,Unknown,Zero-day,VPN,6
UK,2023,Malware,Education,34.66,941720,Nation-state,Zero-day,Antivirus,71
Germany,2019,Phishing,Government,49.71,647613,Unknown,Social Engineering,Antivirus,53
Australia,2016,Ransomware,Telecommunications,27.17,429456,Hacker Group,Social Engineering,VPN,28
India,2020,Phishing,Government,85.73,340643,Unknown,Zero-day,Firewall,72
France,2021,Malware,Education,55.66,21833,Hacker Group,Zero-day,Encryption,2
Japan,2018,Phishing,Education,3.6,598297,Insider,Social Engineering,VPN,49
Australia,2023,Phishing,Retail,78.28,92925,Insider,Zero-day,VPN,53
Germany,2020,SQL Injection,Retail,70.09,98500,Hacker Group,Unpatched Software,Antivirus,30
Japan,2020,SQL Injection,IT,64.56,820070,Hacker Group,Weak Passwords,Encryption,70
UK,2024,Phishing,Banking,66.65,170892,Unknown,Zero-day,AI-based Detection,47
Brazil,2024,Ransomware,Healthcare,60.13,887531,Hacker Group,Social Engineering,Encryption,51
Australia,2024,DDoS,IT,57.81,179507,Insider,Weak Passwords,VPN,8
Russia,2023,DDoS,Banking,78.71,315219,Unknown,Social Engineering,Antivirus,30
USA,2016,Phishing,Government,63.35,223827,Insider,Zero-day,Antivirus,21
France,2016,DDoS,Healthcare,47.01,254371,Unknown,Zero-day,Antivirus,13
Japan,2023,DDoS,Government,67.59,839088,Unknown,Unpatched Software,VPN,62
China,2017,DDoS,IT,17.49,394109,Unknown,Unpatched Software,AI-based Detection,37
France,2019,DDoS,IT,75.84,877224,Unknown,Unpatched Software,Encryption,57
Japan,2020,Phishing,Telecommunications,91.52,846884,Nation-state,Social Engineering,AI-based Detection,42
UK,2020,Malware,IT,44.05,100972,Nation-state,Unpatched Software,Antivirus,54
UK,2017,DDoS,Education,40.18,148447,Insider,Zero-day,AI-based Detection,39
France,2017,SQL Injection,IT,44.56,698908,Nation-state,Zero-day,Antivirus,32
India,2022,SQL Injection,Government,53.89,633626,Nation-state,Social Engineering,Antivirus,54
Germany,2021,Malware,Government,88.01,334748,Unknown,Zero-day,Encryption,5
China,2023,Phishing,Banking,55.94,383589,Unknown,Weak Passwords,Firewall,7
Germany,2018,Ransomware,Education,90.48,901880,Unknown,Social Engineering,VPN,16
Russia,2018,SQL Injection,Education,40.59,598151,Nation-state,Unpatched Software,AI-based Detection,34
France,2016,DDoS,Banking,77.29,120341,Nation-state,Zero-day,VPN,45
Australia,2023,Phishing,Government,91.02,305005,Hacker Group,Zero-day,Firewall,71
Germany,2024,Man-in-the-Middle,Retail,46.41,494622,Hacker Group,Social Engineering,VPN,37
Germany,2021,SQL Injection,Banking,69.07,264662,Insider,Social Engineering,AI-based Detection,46
India,2021,SQL Injection,Healthcare,2.3,942089,Insider,Unpatched Software,VPN,39
France,2016,Man-in-the-Middle,Education,33.45,779870,Nation-state,Zero-day,Firewall,6
UK,2015,Phishing,IT,15.27,407233,Insider,Unpatched Software,Antivirus,72
Russia,2019,Malware,Banking,98.59,148622,Nation-state,Weak Passwords,Firewall,6
Brazil,2023,Ransomware,Healthcare,30.45,480773,Hacker Group,Weak Passwords,Encryption,52
UK,2023,Malware,IT,22.24,946994,Unknown,Zero-day,VPN,13
Japan,2015,Malware,Retail,9.75,559143,Nation-state,Social Engineering,VPN,69
Brazil,2017,Man-in-the-Middle,Education,67.55,287646,Nation-state,Social Engineering,VPN,68
China,2019,SQL Injection,Retail,26.97,19575,Insider,Zero-day,AI-based Detection,1
China,2015,Malware,Retail,73.45,701505,Hacker Group,Social Engineering,Antivirus,36
China,2021,Ransomware,Retail,40.01,998728,Unknown,Weak Passwords,AI-based Detection,68
France,2021,SQL Injection,Telecommunications,52.67,434504,Unknown,Social Engineering,AI-based Detection,46
Australia,2021,Ransomware,Retail,61.46,860546,Unknown,Zero-day,AI-based Detection,22
Brazil,2020,SQL Injection,Education,62.72,827349,Nation-state,Unpatched Software,VPN,68
Japan,2018,DDoS,IT,2.65,145427,Nation-state,Social Engineering,VPN,28
Russia,2022,Malware,Government,33.8,613718,Unknown,Unpatched Software,AI-based Detection,60
Australia,2018,Phishing,IT,61.47,239301,Unknown,Social Engineering,Antivirus,22
China,2017,Phishing,Education,16.82,848597,Hacker Group,Weak Passwords,AI-based Detection,11
Japan,2020,Man-in-the-Middle,Banking,73.85,278424,Nation-state,Zero-day,Encryption,9
Russia,2015,DDoS,Government,97.4,23096,Unknown,Weak Passwords,Firewall,38
Russia,2022,Phishing,Education,33.49,68371,Nation-state,Unpatched Software,Firewall,57
China,2023,Ransomware,Healthcare,62.21,534686,Insider,Unpatched Software,AI-based Detection,44
China,2019,Man-in-the-Middle,Education,75.86,985505,Unknown,Social Engineering,Encryption,26
USA,2015,DDoS,Banking,98.39,306320,Insider,Unpatched Software,AI-based Detection,41
Japan,2023,DDoS,Government,17.69,799380,Unknown,Weak Passwords,AI-based Detection,57
USA,2023,DDoS,IT,55.14,529551,Unknown,Zero-day,VPN,61
Australia,2024,DDoS,IT,82.49,102295,Unknown,Weak Passwords,VPN,46
Australia,2022,Phishing,Banking,64.07,800131,Unknown,Zero-day,AI-based Detection,69
UK,2015,Ransomware,Banking,32.0,712739,Nation-state,Weak Passwords,Antivirus,17
Russia,2018,Phishing,Telecommunications,39.15,814119,Hacker Group,Weak Passwords,Firewall,64
India,2018,SQL Injection,Education,12.44,599905,Nation-state,Social Engineering,VPN,13
France,2017,DDoS,Healthcare,5.07,65117,Unknown,Social Engineering,Firewall,3
USA,2023,Phishing,Telecommunications,6.18,591348,Nation-state,Weak Passwords,Encryption,55
Japan,2023,Phishing,Retail,55.7,53447,Insider,Unpatched Software,AI-based Detection,43
Germany,2024,Malware,IT,47.13,471379,Unknown,Unpatched Software,AI-based Detection,67
Russia,2017,SQL Injection,Banking,76.84,883919,Hacker Group,Social Engineering,VPN,8
Germany,2021,Malware,Telecommunications,78.46,606940,Insider,Social Engineering,AI-based Detection,32
India,2018,Man-in-the-Middle,Healthcare,56.88,416331,Hacker Group,Unpatched Software,Encryption,62
Russia,2019,Phishing,Banking,58.38,826778,Insider,Zero-day,AI-based Detection,59
China,2022,Ransomware,Healthcare,71.36,712697,Insider,Unpatched Software,AI-based Detection,39
UK,2023,Man-in-the-Middle,Government,48.19,450891,Nation-state,Social Engineering,Encryption,32
Russia,2016,Phishing,Healthcare,13.91,600700,Hacker Group,Zero-day,Firewall,28
